"testCaseID","featureName","type","description","isDeploymentTest"
"TCXM_2410","dhcp-server","functional","Create dhcp-server with valid value variation 2 for required param 'server', scope to site, target to site, deploy and verify","true"
"TCXM_2411","dhcp-server","functional","Create dhcp-server with valid value variation 3 for required param 'server', scope to device, target to device, deploy and verify","true"
"TCXM_2412","dhcp-server","functional","Create dhcp-server with valid value variation 3 for required param 'server', scope to site, target to site, deploy and verify","true"
"TCXM_2413","dhcp-server","functional","Create dhcp-server with valid value variation 4 for required param 'server', scope to device, target to device, deploy and verify","true"
"TCXM_2414","dhcp-server","functional","Create dhcp-server with valid value variation 4 for required param 'server', scope to site, target to site, deploy and verify","true"
"TCXM_2415","dhcp-server","functional","Create dhcp-server with valid value variation 5 for required param 'server', scope to device, target to device, deploy and verify","true"
"TCXM_2416","dhcp-server","functional","Create dhcp-server with valid value variation 5 for required param 'server', scope to site, target to site, deploy and verify","true"
"TCXM_2417","dhcp-server","functional","Deploy and verify dhcp-server with 0 optional parameters (variation 1), scope to device, target to device","true"
"TCXM_2418","dhcp-server","functional","Deploy and verify dhcp-server with 0 optional parameters (variation 1), scope to site, target to site","true"
"TCXM_2419","dhcp-server","functional","Deploy and verify dhcp-server with 0 optional parameters (variation 2), scope to device, target to device","true"
"TCXM_2420","dhcp-server","functional","Deploy and verify dhcp-server with 0 optional parameters (variation 2), scope to site, target to site","true"
"TCXM_2421","dhcp-server","functional","Deploy and verify dhcp-server with 0 optional parameters (variation 3), scope to device, target to device","true"
"TCXM_2422","dhcp-server","functional","Deploy and verify dhcp-server with 0 optional parameters (variation 3), scope to site, target to site","true"
"TCXM_2423","dhcp-server","functional","Deploy and verify dhcp-server with 1 optional parameters (variation 1), scope to device, target to device","true"
"TCXM_2424","dhcp-server","functional","Deploy and verify dhcp-server with 1 optional parameters (variation 1), scope to site, target to site","true"
"TCXM_2425","dhcp-server","functional","Deploy and verify dhcp-server with 1 optional parameters (variation 2), scope to device, target to device","true"
"TCXM_2426","dhcp-server","functional","Deploy and verify dhcp-server with 1 optional parameters (variation 2), scope to site, target to site","true"
"TCXM_2427","dhcp-server","functional","Deploy and verify dhcp-server with 1 optional parameters (variation 3), scope to device, target to device","true"
"TCXM_2428","dhcp-server","functional","Deploy and verify dhcp-server with 1 optional parameters (variation 3), scope to site, target to site","true"
"TCXM_2429","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 1 (Resource-A)","true"
"TCXM_2430","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 2 (Resource-B)","true"
"TCXM_2431","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 3 (Resource-C)","true"
"TCXM_2432","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 4 (Resource-Alpha)","true"
"TCXM_2433","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 5 (Resource-Beta)","true"
"TCXM_2434","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 6 (Resource-Gamma)","true"
"TCXM_2435","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 7 (Resource-Delta)","true"
"TCXM_2436","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 8 (Resource-Epsilon)","true"
"TCXM_2437","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 9 (Resource-Test1)","true"
"TCXM_2438","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 10 (Resource-Test2)","true"
"TCXM_2439","dhcp-server","functional","Deploy and verify dhcp-server with min boundary value for 'priority'","true"
"TCXM_2440","dhcp-server","functional","Deploy and verify dhcp-server with max boundary value for 'priority'","true"
"TCXM_2441","dhcp-server","functional","Deploy and verify dhcp-server with max boundary value for 'name'","true"
"TCXM_2442","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'priority' and 'server' (var 1)","true"
"TCXM_2443","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'priority' and 'server' (var 2)","true"
"TCXM_2444","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'priority' and 'server' (var 3)","true"
"TCXM_2445","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'priority' and 'name' (var 1)","true"
"TCXM_2446","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'priority' and 'name' (var 2)","true"
"TCXM_2447","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'priority' and 'name' (var 3)","true"
"TCXM_2448","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'server' and 'name' (var 1)","true"
"TCXM_2449","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'server' and 'name' (var 2)","true"
"TCXM_2450","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'server' and 'name' (var 3)","true"
"TCXM_2451","dhcp-server","functional","Deploy and verify dhcp-server with uint8 value variation 1 for 'priority'","true"
"TCXM_2452","dhcp-server","functional","Deploy and verify dhcp-server with uint8 value variation 2 for 'priority'","true"
"TCXM_2453","dhcp-server","functional","Deploy and verify dhcp-server with uint8 value variation 3 for 'priority'","true"
"TCXM_2454","dhcp-server","functional","Deploy and verify dhcp-server with string value variation 1 for 'server'","true"
"TCXM_2455","dhcp-server","functional","Deploy and verify dhcp-server with string value variation 2 for 'server'","true"
"TCXM_2456","dhcp-server","functional","Deploy and verify dhcp-server with string value variation 3 for 'server'","true"
"TCXM_2457","dhcp-server","functional","Create dhcp-server and schedule deployment to device","true"
"TCXM_2458","dhcp-server","functional","Create dhcp-server and schedule deployment to site","true"
"TCXM_2459","dhcp-server","functional","Edit deployment schedule for dhcp-server on device","true"
"TCXM_2460","dhcp-server","functional","Clear deployment schedule for dhcp-server on site","true"
"TCXM_2461","dhcp-server","functional","Clone dhcp-server configuration profile","false"
"TCXM_2462","dhcp-server","functional","Clone dhcp-server feature object","false"
"TCXM_2466","dhcp-server","negative","Test creation without required field priority","false"
"TCXM_2467","dhcp-server","negative","Test creation without required field server","false"
"TCXM_2468","dhcp-server","negative","Test name exceeding max length","false"
"TCXM_2469","dhcp-server","negative","Test priority value below minimum (1)","false"
"TCXM_2470","dhcp-server","negative","Test priority value above maximum (16)","false"
"TCXM_2471","dhcp-server","negative","Test with empty priority field","false"
"TCXM_2472","dhcp-server","negative","Test with null priority value","false"
"TCXM_2473","dhcp-server","negative","Test with empty server field","false"
"TCXM_2474","dhcp-server","negative","Test with null server value","false"
"TCXM_2475","dhcp-server","negative","Test with missing operation field","false"
"TCXM_2480","dhcp-server","performance","'Performance test: create 10 instances of dhcp-server'","false"
"TCXM_2481","dhcp-server","performance","Performance test for dhcp-server update operations","false"
"TCXM_2482","dhcp-server","performance","Performance test for dhcp-server delete operations","false"
"TCXM_2476","dhcp-server","scale","Create 100 instances of dhcp-server","false"
"TCXM_2477","dhcp-server","scale","Create dhcp-server with large list (100 items)","false"
"TCXM_2478","dhcp-server","scale","Test rapid consecutive updates to dhcp-server","false"
"TCXM_2479","dhcp-server","scale","Test maximum capacity for dhcp-server (create to maximum allowed)","false"
