TestCaseID,FeatureName,Description,IsDeploymentTest
"TCXM_1578","dns-server","Deploy and verify dns-server with 0 optional parameters (variation 2), scope to site, target to site","true"
"TCXM_1579","dns-server","Deploy and verify dns-server with 0 optional parameters (variation 3), scope to device, target to device","true"
"TCXM_1580","dns-server","Deploy and verify dns-server with 0 optional parameters (variation 3), scope to site, target to site","true"
"TCXM_1581","dns-server","Deploy and verify dns-server with 1 optional parameters (variation 1), scope to device, target to device","true"
"TCXM_1582","dns-server","Deploy and verify dns-server with 1 optional parameters (variation 1), scope to site, target to site","true"
"TCXM_1583","dns-server","Deploy and verify dns-server with 1 optional parameters (variation 2), scope to device, target to device","true"
"TCXM_1584","dns-server","Deploy and verify dns-server with 1 optional parameters (variation 2), scope to site, target to site","true"
"TCXM_1585","dns-server","Deploy and verify dns-server with 1 optional parameters (variation 3), scope to device, target to device","true"
"TCXM_1586","dns-server","Deploy and verify dns-server with 1 optional parameters (variation 3), scope to site, target to site","true"
"TCXM_1587","dns-server","Deploy and verify dns-server with path param variation 1 (Resource-A)","true"
"TCXM_1588","dns-server","Deploy and verify dns-server with path param variation 2 (Resource-B)","true"
"TCXM_1589","dns-server","Deploy and verify dns-server with path param variation 3 (Resource-C)","true"
"TCXM_1590","dns-server","Deploy and verify dns-server with path param variation 4 (Resource-Alpha)","true"
"TCXM_1591","dns-server","Deploy and verify dns-server with path param variation 5 (Resource-Beta)","true"
"TCXM_1592","dns-server","Deploy and verify dns-server with path param variation 6 (Resource-Gamma)","true"
"TCXM_1593","dns-server","Deploy and verify dns-server with path param variation 7 (Resource-Delta)","true"
"TCXM_1594","dns-server","Deploy and verify dns-server with path param variation 8 (Resource-Epsilon)","true"
"TCXM_1595","dns-server","Deploy and verify dns-server with path param variation 9 (Resource-Test1)","true"
"TCXM_1596","dns-server","Deploy and verify dns-server with path param variation 10 (Resource-Test2)","true"
"TCXM_1597","dns-server","Deploy and verify dns-server with min boundary value for 'priority","true"
"TCXM_1598","dns-server","Deploy and verify dns-server with max boundary value for 'priority","true"
"TCXM_1599","dns-server","Deploy and verify dns-server with min boundary value for 'vr-name","true"
"TCXM_1600","dns-server","Deploy and verify dns-server with max boundary value for 'vr-name","true"
"TCXM_1601","dns-server","Deploy and verify dns-server with combined values for 'priority' and 'server' (var 1)","true"
"TCXM_1602","dns-server","Deploy and verify dns-server with combined values for 'priority' and 'server' (var 2)","true"
"TCXM_1603","dns-server","Deploy and verify dns-server with combined values for 'priority' and 'server' (var 3)","true"
"TCXM_1604","dns-server","Deploy and verify dns-server with combined values for 'priority' and 'vr-name' (var 1)","true"
"TCXM_1605","dns-server","Deploy and verify dns-server with combined values for 'priority' and 'vr-name' (var 2)","true"
"TCXM_1606","dns-server","Deploy and verify dns-server with combined values for 'priority' and 'vr-name' (var 3)","true"
"TCXM_1607","dns-server","Deploy and verify dns-server with combined values for 'server' and 'vr-name' (var 1)","true"
"TCXM_1608","dns-server","Deploy and verify dns-server with combined values for 'server' and 'vr-name' (var 2)","true"
"TCXM_1609","dns-server","Deploy and verify dns-server with combined values for 'server' and 'vr-name' (var 3)","true"
"TCXM_1610","dns-server","Deploy and verify dns-server with uint8 value variation 1 for 'priority","true"
"TCXM_1611","dns-server","Deploy and verify dns-server with uint8 value variation 2 for 'priority","true"
"TCXM_1612","dns-server","Deploy and verify dns-server with uint8 value variation 3 for 'priority","true"
"TCXM_1613","dns-server","Deploy and verify dns-server with string value variation 1 for 'server","true"
"TCXM_1614","dns-server","Deploy and verify dns-server with string value variation 2 for 'server","true"
"TCXM_1615","dns-server","Deploy and verify dns-server with string value variation 3 for 'server","true"
"TCXM_1616","dns-server","Create dns-server and schedule deployment to device","true"
"TCXM_1617","dns-server","Create dns-server and schedule deployment to site","true"
"TCXM_1618","dns-server","Edit deployment schedule for dns-server on device","true"
"TCXM_1619","dns-server","Clear deployment schedule for dns-server on site","true"
"TCXM_1620","dns-server","Clone dns-server configuration profile","false"
"TCXM_1621","dns-server","Clone dns-server feature object","false"
"TCXM_1626","dns-server","Test creation without required field priority","false"
"TCXM_1627","dns-server","Test creation without required field server","false"
"TCXM_1628","dns-server","Test vr-name exceeding max length","false"
"TCXM_1629","dns-server","Test vr-name below min length","false"
"TCXM_1630","dns-server","Test priority value below minimum (1)","false"
"TCXM_1631","dns-server","Test priority value above maximum (16)","false"
"TCXM_1632","dns-server","Test with empty priority field","false"
"TCXM_1633","dns-server","Test with null priority value","false"
"TCXM_1634","dns-server","Test with empty server field","false"
"TCXM_1635","dns-server","Test with null server value","false"
"TCXM_1636","dns-server","Test with missing operation field","false"
"TCXM_1641","dns-server","Performance test: create 10 instances of dns-server","false"
"TCXM_1642","dns-server","Performance test for dns-server update operations","false"
"TCXM_1643","dns-server","Performance test for dns-server delete operations","false"
"TCXM_1637","dns-server","Create 100 instances of dns-server","false"
"TCXM_1638","dns-server","Create dns-server with large list (100 items)","false"
"TCXM_1639","dns-server","Test rapid consecutive updates to dns-server","false"
"TCXM_1640","dns-server","Test maximum capacity for dns-server (create to maximum allowed)","false"

