"testCaseID","featureName","type","description","isDeploymentTest"
"TCXM_1026","dhcp-server","functional","Deploy and verify dhcp-server with 0 optional parameters (variation 1), scope to site, target to site","true"
"TCXM_1027","dhcp-server","functional","Deploy and verify dhcp-server with 0 optional parameters (variation 2), scope to device, target to device","true"
"TCXM_1028","dhcp-server","functional","Deploy and verify dhcp-server with 0 optional parameters (variation 2), scope to site, target to site","true"
"TCXM_1029","dhcp-server","functional","Deploy and verify dhcp-server with 0 optional parameters (variation 3), scope to device, target to device","true"
"TCXM_1030","dhcp-server","functional","Deploy and verify dhcp-server with 0 optional parameters (variation 3), scope to site, target to site","true"
"TCXM_1031","dhcp-server","functional","Deploy and verify dhcp-server with 1 optional parameters (variation 1), scope to device, target to device","true"
"TCXM_1032","dhcp-server","functional","Deploy and verify dhcp-server with 1 optional parameters (variation 1), scope to site, target to site","true"
"TCXM_1033","dhcp-server","functional","Deploy and verify dhcp-server with 1 optional parameters (variation 2), scope to device, target to device","true"
"TCXM_1034","dhcp-server","functional","Deploy and verify dhcp-server with 1 optional parameters (variation 2), scope to site, target to site","true"
"TCXM_1035","dhcp-server","functional","Deploy and verify dhcp-server with 1 optional parameters (variation 3), scope to device, target to device","true"
"TCXM_1036","dhcp-server","functional","Deploy and verify dhcp-server with 1 optional parameters (variation 3), scope to site, target to site","true"
"TCXM_1037","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 1 (Resource-A)","true"
"TCXM_1038","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 2 (Resource-B)","true"
"TCXM_1039","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 3 (Resource-C)","true"
"TCXM_1040","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 4 (Resource-Alpha)","true"
"TCXM_1041","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 5 (Resource-Beta)","true"
"TCXM_1042","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 6 (Resource-Gamma)","true"
"TCXM_1043","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 7 (Resource-Delta)","true"
"TCXM_1044","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 8 (Resource-Epsilon)","true"
"TCXM_1045","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 9 (Resource-Test1)","true"
"TCXM_1046","dhcp-server","functional","Deploy and verify dhcp-server with path param variation 10 (Resource-Test2)","true"
"TCXM_1047","dhcp-server","functional","Deploy and verify dhcp-server with min boundary value for 'server'","true"
"TCXM_1048","dhcp-server","functional","Deploy and verify dhcp-server with max boundary value for 'server'","true"
"TCXM_1049","dhcp-server","functional","Deploy and verify dhcp-server with max boundary value for 'name'","true"
"TCXM_1050","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'priority' and 'server' (var 1)","true"
"TCXM_1051","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'priority' and 'server' (var 2)","true"
"TCXM_1052","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'priority' and 'server' (var 3)","true"
"TCXM_1053","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'priority' and 'name' (var 1)","true"
"TCXM_1054","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'priority' and 'name' (var 2)","true"
"TCXM_1055","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'priority' and 'name' (var 3)","true"
"TCXM_1056","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'server' and 'name' (var 1)","true"
"TCXM_1057","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'server' and 'name' (var 2)","true"
"TCXM_1058","dhcp-server","functional","Deploy and verify dhcp-server with combined values for 'server' and 'name' (var 3)","true"
"TCXM_1059","dhcp-server","functional","Deploy and verify dhcp-server with uint8 value variation 1 for 'priority'","true"
"TCXM_1060","dhcp-server","functional","Deploy and verify dhcp-server with uint8 value variation 2 for 'priority'","true"
"TCXM_1061","dhcp-server","functional","Deploy and verify dhcp-server with uint8 value variation 3 for 'priority'","true"
"TCXM_1062","dhcp-server","functional","Deploy and verify dhcp-server with string value variation 1 for 'server'","true"
"TCXM_1063","dhcp-server","functional","Deploy and verify dhcp-server with string value variation 2 for 'server'","true"
"TCXM_1064","dhcp-server","functional","Deploy and verify dhcp-server with string value variation 3 for 'server'","true"
"TCXM_1065","dhcp-server","functional","Create dhcp-server and schedule deployment to device","true"
"TCXM_1066","dhcp-server","functional","Create dhcp-server and schedule deployment to site","true"
"TCXM_1067","dhcp-server","functional","Edit deployment schedule for dhcp-server on device","true"
"TCXM_1068","dhcp-server","functional","Clear deployment schedule for dhcp-server on site","true"
"TCXM_1069","dhcp-server","functional","Clone dhcp-server configuration profile","false"
"TCXM_1070","dhcp-server","functional","Clone dhcp-server feature object","false"
"TCXM_1074","dhcp-server","negative","Test creation without required field priority","false"
"TCXM_1075","dhcp-server","negative","Test creation without required field server","false"
"TCXM_1076","dhcp-server","negative","Test server with pattern violation","false"
"TCXM_1077","dhcp-server","negative","Test server exceeding max length","false"
"TCXM_1078","dhcp-server","negative","Test name exceeding max length","false"
"TCXM_1079","dhcp-server","negative","Test server below min length","false"
"TCXM_1080","dhcp-server","negative","Test with empty priority field","false"
"TCXM_1081","dhcp-server","negative","Test with null priority value","false"
"TCXM_1082","dhcp-server","negative","Test with empty server field","false"
"TCXM_1083","dhcp-server","negative","Test with null server value","false"
"TCXM_1084","dhcp-server","negative","Test with missing operation field","false"
"TCXM_1089","dhcp-server","performance","'Performance test: create 10 instances of dhcp-server'","false"
"TCXM_1090","dhcp-server","performance","Performance test for dhcp-server update operations","false"
"TCXM_1091","dhcp-server","performance","Performance test for dhcp-server delete operations","false"
"TCXM_1085","dhcp-server","scale","Create 100 instances of dhcp-server","false"
"TCXM_1086","dhcp-server","scale","Create dhcp-server with large list (100 items)","false"
"TCXM_1087","dhcp-server","scale","Test rapid consecutive updates to dhcp-server","false"
"TCXM_1088","dhcp-server","scale","Test maximum capacity for dhcp-server (create to maximum allowed)","false"
